"Run/Debug","Debug Android Application","Alt+Shift+A, D","In Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Run/Debug","Step Over","F6","Debugging"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Source","Show Source Quick Menu","Alt+Shift+S","JavaScript View"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Task","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Refactor - JavaScript","Extract Local Variable","Alt+Shift+L","JavaScript View"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View"
"Run/Debug","Resume","F8","Debugging"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing JavaScript Source"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing JavaScript Source"
"File","Save All","Ctrl+Shift+S","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Task","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"MouseFeed","Last Action Invocation...","Ctrl+Shift+1","In Windows"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Task","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Run/Debug","Run on Server","Alt+Shift+X, R","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Views","Show View (Declaration)","Alt+Shift+Q, D","JavaScript View"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Task","Mark Task Read","Alt+Shift+R","In Tasks View"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing JavaScript Source"
"Task","Show Tooltip Description","F4","In Tasks View"
"Navigate","Backward History","Alt+Left","In Windows"
"Terminal view commands","Terminal view insert","Alt+G","Terminal widget context"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+T","Terminal widget context"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Terminal view commands","Terminal view insert","Alt+R","Terminal widget context"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"File","Close All","Ctrl+Shift+W","In Windows"
"Task","New Local Task","Insert","In Tasks View"
"Task","New Subtask","Shift+Insert","In Tasks View"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Edit","Word Completion","Alt+/","Editing Text"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Run/Debug","Debug","F11","In Windows"
"File","New","Ctrl+N","In Windows"
